SZU,Charge_Point,Charge_Point_2
Breadalbane,"34° 52'30""S","149° 30'30""E"
Bredbo,"35° 54'0""S","149° 16'0""E"
Breeza,"31° 13'0""S","150° 27'30""E"
Bremer Bay,"34° 23'30""S","119° 12'0""E"
Brewarrina,"30° 1'30""S","146° 47'30""E"
Briaba,"20° 17'0""S","147° 59'30""E"
Bribbaree,"34° 9'30""S","148° 0'0""E"
Bribie Island,"27° 4'30""S","153° 10'45""E"
Bridgetown,"33° 59'0""S","116° 10'30""E"
Bridgewater,"36° 34'0""S","144° 0'30""E"
Bridport,"41° 2'30""S","147° 22'0""E"
Brigalow,"26° 50'0""S","150° 47'0""E"
Bright,"36° 45'0""S","146° 55'0""E"
Brighton,"42° 41'30""S","147° 13'0""E"
Bringalily,"28° 1'30""S","151° 12'0""E"
Brinkworth,"33° 39'30""S","138° 25'30""E"
Brisbane,"27° 27'30""S","153° 1'0""E"
Broadford,"37° 15'0""S","145° 8'0""E"
Broadsound (Ext),"22° 46'30""S","150° 8'30""E"
Broke,"32° 44'0""S","151° 8'30""E"
Broken Hill,"32° 3'30""S","141° 34'30""E"
Brooklands,"26° 39'30""S","151° 52'30""E"
Brookstead,"27° 46'30""S","151° 30'5""E"
Brookton,"32° 21'30""S","117° 4'0""E"
Broome,"17° 58'0""S","122° 13'30""E"
Broomehill,"33° 50'30""S","117° 46'0""E"
Brooweena,"25° 41'0""S","152° 22'0""E"
Broughton,"36° 10'30""S","141° 22'30""E"
Bruce Rock,"31° 49'45""S","118° 8'0""E"
Bruie Plains,"32° 50'30""S","147° 52'0""E"
Brunswick Junction,"33° 16'0""S","115° 53'30""E"
Bruthen,"37° 38'0""S","147° 52'0""E"
Brymaroo,"27° 11'45""S","151° 41'0""E"
Buangor,"37° 18'0""S","143° 10'0""E"
Buchan,"37° 29'30""S","148° 11'0""E"
Buckinguy,"31° 0'0""S","147° 37'30""E"
Buckland (Ext),"24° 18'0""S","148° 3'0""E"
Buckrabanyule,"36° 13'30""S","143° 33'0""E"
Buffalo,"38° 42'30""S","145° 58'0""E"
Buffalo River,"36° 44'30""S","146° 41'0""E"
Bulahdelah,"32° 26'30""S","152° 15'30""E"
Bullaring,"32° 24'0""S","117° 38'0""E"
Bullfinch,"31° 1'30""S","119° 19'30""E"
Bullsbrook East,"31° 32'0""S","116° 3'0""E"
Bunbury,"33° 19'30""S","115° 43'30""E"
Bunda,"33° 39'0""S","145° 50'0""E"
Bundaberg,"24° 50'30""S","152° 20'30""E"
Bundanoon,"34° 41'0""S","150° 14'30""E"
Bundarra,"30° 13'30""S","151° 10'0""E"
Bundella,"31° 34'30""S","150° 3'10""E"
Bundure,"35° 12'55""S","145° 58'10""E"
Bungendore,"35° 17'30""S","149° 24'0""E"
Bungonia,"34° 54'30""S","149° 50'0""E"
Buninyong,"37° 44'30""S","143° 59'0""E"
Bunker (Ext),"24° 07'00""S","152° 43'00""E"
Bunnan,"31° 57'50""S","150° 38'55""E"
Bunnor,"29° 26'0""S","149° 29'0""E"
Bunya Mountains,"26° 50'50""S","151° 29'30""E"
Bunyip,"38° 7'0""S","145° 42'0""E"
