SZU,Charge_Point,Charge_Point_2
Robertstown,"33° 57'30""S","139° 3'30""E"
Robinson Gorge (Ext),"25° 16'0""S","149° 18'30""E"
Robinvale,"34° 39'0""S","142° 49'0""E"
Rochester,"36° 21'30""S","144° 46'30""E"
Rockhampton,"23° 20'30""S","150° 31'0""E"
Rockingham,"32° 20'30""S","115° 48'0""E"
Rockley,"33° 42'30""S","149° 32'0""E"
Rocky Creek,"29° 20'0""S","151° 31'30""E"
Rocky Glen,"31° 7'30""S","149° 31'0""E"
Rocky Gully,"34° 25'30""S","117° 10'0""E"
Rodinga (Ext),"25° 34'0""S","134° 23'0""E"
Roebuck (Ext),"19° 54'0""S","123° 27'0""E"
Rokewood,"37° 50'0""S","143° 41'50""E"
Rolleston,"24° 18'0""S","148° 3'0""E"
Rollingstone,"19° 9'0""S","146° 19'0""E"
Roma,"26° 33'0""S","148° 37'0""E"
Romsey,"37° 19'30""S","144° 45'0""E"
Rookhurst,"31° 50'0""S","151° 54'0""E"
Roper River (Ext),"14° 31'0""S","133° 58'0""E"
Rosebery,"41° 48'30""S","145° 29'30""E"
Rosebud,"38° 24'0""S","144° 55'0""E"
Rosedale (QLD),"24° 35'0""S","151° 58'30""E"
Rosedale (VIC),"38° 14'0""S","146° 48'0""E"
Rosevale,"27° 49'0""S","152° 28'0""E"
Rosewood,"27° 38'30""S","152° 35'30""E"
Rossarden,"41° 42'30""S","147° 41'30""E"
Rottnest,"32° 0'30""S","115° 33'0""E"
Rowena,"29° 49'30""S","148° 53'0""E"
Roxby Downs,"30° 33'46""S","136° 53'55""E"
Rudall,"33° 38'10""S","136° 10'0""E"
Rufus River,"34° 1'30""S","141° 8'0""E"
Rugby,"34° 21'0""S","149° 1'30""E"
Running Stream,"33° 1'0""S","149° 53'30""E"
Rushworth,"36° 34'0""S","144° 59'30""E"
Russell Island,"27° 38'0""S","153° 23'0""E"
Rye Park,"34° 36'30""S","148° 52'0""E"
Sale,"38° 8'0""S","147° 0'30""E"
Salisbury,"34° 44'30""S","138° 40'30""E"
Salmon Gums,"32° 53'0""S","121° 43'0""E"
Samford,"27° 20'30""S","152° 49'30""E"
San Remo,"38° 29'0""S","145° 33'0""E"
Sanderston,"34° 43'30""S","139° 8'30""E"
Sandfire (Ext),"21° 2'30""S","121° 50'0""E"
Sandgate,"27° 28'0""S","153° 1'0""E"
Sandigo,"34° 54'0""S","146° 37'30""E"
Sandleton,"34° 27'0""S","139° 18'0""E"
Sandy Flat,"29° 12'30""S","152° 2'0""E"
Sarina,"21° 21'0""S","149° 12'30""E"
Savage River,"41° 23'0""S","145° 22'0""E"
Scaddan West,"33° 21'30""S","121° 29'0""E"
Scarsdale,"37° 41'30""S","143° 44'0""E"
Scone,"32° 1'0""S","150° 56'0""E"
Scotia (Ext),"33° 54'30""S","141° 30'30""E"
Scottsdale,"41° 10'30""S","147° 31'30""E"
Sea Lake,"35° 30'30""S","142° 47'0""E"
Seaspray,"38° 21'30""S","147° 2'30""E"
Sedan,"34° 35'0""S","139° 21'0""E"
Serviceton,"36° 18'30""S","141° 6'0""E"
Seymour,"37° 1'0""S","145° 14'5""E"
Shackleton,"31° 55'10""S","117° 51'0""E"
Shannons Flat,"35° 52'55""S","149° 2'20""E"
Sheffield,"41° 24'30""S","146° 19'0""E"
Shepparton,"36° 20'0""S","145° 24'0""E"
Sheringa,"33° 50'0""S","135° 15'0""E"
Short,"37° 22'5""S","140° 37'25""E"
Silkwood,"17° 43'30""S","146° 0'0""E"
Simpson (Ext),"23° 50'0""S","136° 45'0""E"
Singleton,"32° 35'0""S","151° 6'30""E"
Skipton,"37° 41'45""S","143° 25'30""E"
Sleaford Mere,"34° 51'0""S","135° 48'0""E"
Smithton,"40° 53'30""S","145° 2'30""E"
Smithtown,"31° 1'0""S","152° 59'0""E"
Snowtown,"33° 47'40""S","138° 17'0""E"
Somerton,"31° 0'0""S","150° 36'30""E"
Sorell,"42° 46'30""S","147° 35'0""E"
South Bruny,"43° 18'10""S","147° 18'30""E"
South Hummocks,"34° 6'0""S","138° 7'0""E"
South Johnstone,"17° 33'0""S","145° 57'0""E"
South Kumminin,"32° 11'0""S","118° 18'30""E"
South Purrumbete,"38° 23'0""S","143° 12'0""E"
South Quairading,"32° 7'30""S","117° 33'0""E"
Southern Cross,"31° 17'0""S","119° 22'0""E"
Southport,"27° 57'0""S","153° 20'0""E"
Southwest (Ext),"43°13'0""S ","146°6'0""E"
Southwood,"27° 45'26""S","149° 59'33""E"
Spalding,"33° 36'30""S","138° 36'30""E"
Spearwood,"32° 10'0""S","115° 50'0""E"
Speddingup East,"33° 31'30""S","122° 3'0""E"
Spier,"24° 18'0""S","150° 21'30""E"
Spilsby,"34°40'0""S ","136°20'0""E"
Spring Plains,"29° 55'0""S","149° 12'30""E"
Springdale,"34° 29'30""S","147° 42'30""E"
Springsure,"24° 18'0""S","148° 3'0""E"
St Albans,"33° 15'30""S","150° 57'0""E"
St Arnaud,"36° 33'30""S","143° 12'0""E"
St George,"28° 3'0""S","148° 35'0""E"
St Helens,"41° 17'30""S","148° 14'0""E"
St James,"36° 19'0""S","145° 51'0""E"
St Lawrence,"22° 13'0""S","149° 28'0""E"
St Marys,"41° 33'30""S","148° 11'0""E"
Stanbridge,"34° 28'30""S","146° 11'30""E"
Stanley,"40° 55'0""S","145° 18'30""E"
Stanthorpe,"28° 38'30""S","151° 56'0""E"
Stawell,"37° 4'30""S","142° 50'30""E"
Stockinbingal,"34° 32'0""S","147° 55'30""E"
Stoneleigh,"37° 37'0""S","143° 14'0""E"
Strathalbyn,"35° 16'30""S","138° 49'30""E"
Strathbogie,"36° 49'0""S","145° 47'0""E"
Strathdownie,"37° 42'30""S","141° 16'0""E"
Strathfieldsaye,"36° 51'0""S","144° 27'0""E"
Strathgordon,"42° 44'30""S","146° 19'0""E"
Streaky Bay,"32° 47'0""S","134° 14'0""E"
Streatham,"37° 39'25""S","142° 59'15""E"
Stroud,"32° 25'30""S","151° 57'0""E"
Stuart Town,"32° 49'0""S","149° 4'0""E"
Stuarts Point,"30° 50'0""S","152° 52'30""E"
Studleigh,"31° 19'30""S","117° 5'0""E"
Sunbury,"37° 40'0""S","144° 40'30""E"
Surat,"27° 8'43""S","149° 8'8""E"
Sutherland,"33° 52'0""S","151° 12'0""E"
Swan Hill,"35° 21'0""S","143° 34'30""E"
Swan Marsh,"38° 20'0""S","143° 24'0""E"
Swan Reach,"34° 35'30""S","139° 39'0""E"
Swanpool,"36° 48'0""S","146° 0'0""E"
Swansea (NSW),"33° 4'30""S","151° 31'30""E"
Swansea (TAS),"42° 8'30""S","147° 59'30""E"
Swifts Creek,"37° 14'0""S","147° 35'0""E"
Sydenham,"37° 49'0""S","144° 57'0""E"
Sydney,"33° 52'0""S","151° 12'0""E"
Tabers,"26° 20'30""S","148° 38'30""E"
Tablelands (Ext),"18° 24'0""S","134° 9'0""E"
Tabulam,"28° 59'0""S","152° 37'30""E"
Taggerty,"37° 23'0""S","145° 40'30""E"
Tahara,"37° 45'0""S","141° 46'0""E"
Tailem Bend,"35° 16'30""S","139° 28'30""E"
Talbingo,"35° 31'0""S","148° 19'0""E"
Talbot,"37° 10'20""S","143° 40'20""E"
Talbot Brook,"32° 1'30""S","116° 39'30""E"
Taldra,"34° 22'0""S","140° 51'30""E"
Talgarno,"35° 59'0""S","147° 14'30""E"
Tallangatta,"36° 14'45""S","147° 12'50""E"
Tallangatta Valley,"36° 18'40""S","147° 26'10""E"
Tallimba,"34° 3'0""S","146° 55'0""E"
Talmalmo,"35° 58'0""S","147° 26'0""E"
Talwood,"28° 21'0""S","149° 41'30""E"
Tambar Springs,"31° 19'30""S","149° 56'30""E"
Tambellup,"33° 57'30""S","117° 30'30""E"
Tambo,"26° 7'0""S","146° 17'0""E"
Tamborine Mountain,"27° 57'25""S","153° 10'20""E"
Tammin,"31° 40'0""S","117° 27'30""E"
Tamworth,"31° 4'30""S","150° 56'0""E"
Tanami (Ext),"21° 29'0""S","130° 58'0""E"
Tandora,"25° 14'20""S","151° 0'0""E"
Tankerton,"38° 22'0""S","145° 21'0""E"
Tansey,"26° 2'0""S","152° 2'30""E"
Tantanoola,"37° 45'0""S","140° 26'30""E"
Tanunda,"34° 32'30""S","139° 1'0""E"
Taplan,"34° 33'30""S","140° 51'10""E"
Tara,"27° 13'30""S","150° 33'0""E"
Tarago,"35° 4'0""S","149° 42'30""E"
Taralga,"34° 28'30""S","149° 47'30""E"
Taratap,"36° 39'30""S","139° 53'0""E"
Tarcoola,"30° 28'0""S","135° 58'0""E"
Tarcutta,"35° 16'30""S","147° 46'0""E"
Taree,"31° 56'0""S","152° 29'0""E"
Targa,"41° 22'0""S","147° 23'45""E"
Tarin Rock,"33° 8'50""S","118° 15'0""E"
Taroom,"25° 38'33""S","149° 47'45""E"
Tarpeena,"37° 38'0""S","140° 50'30""E"
Tarraleah,"42° 16'0""S","146° 21'30""E"
Tarwonga,"33° 9'30""S","117° 6'0""E"
Tathra,"36° 38'30""S","149° 57'30""E"
Tatong,"36° 47'0""S","146° 12'0""E"
Tatura,"36° 33'0""S","145° 15'0""E"
Taylors Arm,"30° 43'0""S","152° 40'0""E"
Taylorville,"34° 4'30""S","139° 55'0""E"
Tea Gardens,"32° 36'0""S","152° 7'0""E"
Teelba,"27° 43'45""S","149° 27'45""E"
Telegraph Point,"31° 17'30""S","152° 47'30""E"
Telfer,"21° 2'30""S","121° 50'0""E"
Telopea Downs,"36° 10'30""S","141° 6'30""E"
Temora,"34° 26'0""S","147° 26'10""E"
Tempy,"35° 15'30""S","142° 27'0""E"
Tenindewa,"28° 37'30""S","115° 23'30""E"
Tennant Creek,"19° 39'0""S","134° 11'30""E"
Tennyson,"36° 20'0""S","144° 27'0""E"
Tenterden (NSW),"30° 7'50""S","151° 30'30""E"
Tenterden (WA),"34° 23'30""S","117° 33'0""E"
Tenterfield,"28° 59'30""S","152° 0'0""E"
Tepco (Ext),"32° 15'0""S","141° 5'0""E"
Terang,"38° 10'30""S","142° 55'0""E"
Teridgerie,"30° 53'30""S","148° 48'0""E"
Terowie,"33° 12'0""S","138° 53'0""E"
Terrey Hills,"33° 52'0""S","151° 12'0""E"
Texas,"28° 48'0""S","151° 11'30""E"
Thallon,"28° 34'30""S","148° 54'6""E"
Thargomindah,"28° 18'0""S","143° 50'0""E"
The Caves,"23° 6'0""S","150° 26'30""E"
The Darling (Ext),"32° 46'0""S","142° 29'0""E"
The Gums,"27° 20'0""S","150° 17'0""E"
The Monument,"20° 35'0""S","138° 57'0""E"
The Mullion,"35° 5'55""S","149° 1'20""E"
The Ranges (Ext),"32° 25'0""S","136° 51'0""E"
The Rock,"35° 15'40""S","147° 6'0""E"
Theodore,"24° 57'0""S","150° 4'0""E"
Thistle,"35° 0'0""S","136° 10'0""E"
Thomson (Ext),"23° 40'0""S","143° 6'0""E"
Thoona,"36° 17'50""S","146° 2'25""E"
Thora,"30° 28'30""S","152° 38'0""E"
Thornlea,"37° 29'0""S","140° 18'0""E"
Thornton,"27° 48'0""S","152° 24'0""E"
Thredbo Village,"36° 23'0""S","148° 25'0""E"
Three Springs,"29° 29'30""S","115° 44'30""E"
Thursday Island,"10° 46'0""S","142° 20'30""E"
Tiaro,"25° 46'0""S","152° 43'0""E"
Tibooburra,"30° 11'0""S","141° 50'0""E"
Tidal River,"38° 50'0""S","146° 8'30""E"
Tieri,"23° 9'30""S","148° 16'0""E"
Tilley Swamp,"36° 28'45""S","139° 55'30""E"
Timboon,"38° 31'25""S","142° 59'50""E"
Tingha,"29° 56'30""S","151° 15'0""E"
Tintinara,"35° 58'10""S","140° 8'50""E"
Tipton,"27° 25'0""S","151° 17'0""E"
Tiwi (Ext),"11°29'0""S ","130°49'0""E"
Tocumwal,"35° 50'30""S","145° 28'0""E"
Tom Price,"22° 45'30""S","117° 38'30""E"
Tonebridge,"34° 8'0""S","116° 35'30""E"
Tongala,"36° 12'0""S","144° 57'30""E"
Toobeah,"28° 13'30""S","150° 3'0""E"
Toodyay,"31° 27'30""S","116° 30'0""E"
Toogoolawah,"27° 4'30""S","152° 26'20""E"
Tooligie Hill,"33° 52'30""S","135° 47'0""E"
Tooma,"35° 58'30""S","148° 7'0""E"
Toora,"38° 35'30""S","146° 21'0""E"
Tooraweenah,"31° 32'30""S","148° 50'0""E"
Toorooka,"30° 53'30""S","152° 39'0""E"
Toowoomba,"27° 31'30""S","151° 56'0""E"
Torquay,"38° 16'30""S","144° 19'0""E"
Torres (Ext),"10° 15'0""S","142° 30'0""E"
Tottenham,"32° 18'0""S","147° 21'0""E"
Townsville,"19° 17'30""S","146° 48'0""E"
Trafalgar,"38° 13'30""S","146° 9'0""E"
Trangie,"32° 1'0""S","148° 3'30""E"
Traralgon,"38° 9'30""S","146° 36'0""E"
Trayning,"31° 6'0""S","117° 52'30""E"
Traynors Lagoon,"36° 36'10""S","143° 1'15""E"
Trentham,"37° 21'0""S","144° 22'30""E"
Trundle,"32° 53'30""S","147° 36'0""E"
Truro,"34° 23'30""S","139° 5'0""E"
Tuena,"34° 7'0""S","149° 32'15""E"
Tullakool,"35° 25'30""S","144° 1'30""E"
Tullamore,"32° 36'0""S","147° 35'0""E"
Tullibigeal,"33° 24'55""S","146° 49'30""E"
Tully,"17° 53'30""S","145° 58'30""E"
Tumbarumba,"35° 41'0""S","147° 59'0""E"
Tumby Bay,"34° 22'0""S","136° 0'0""E"
Tumorrama,"35° 7'0""S","148° 26'30""E"
Tumut,"35° 18'40""S","148° 17'30""E"
Tungamah,"36° 7'0""S","145° 54'0""E"
Tungamull,"23° 22'30""S","150° 44'30""E"
Turkey Beach,"24° 5'0""S","151° 42'0""E"
Turriff,"35° 30'0""S","142° 30'0""E"
Tweed Heads,"28° 8'35""S","153° 24'10""E"
Twelve Mile,"32° 36'30""S","149° 19'0""E"
Two Wells,"34° 34'30""S","138° 28'30""E"
Tyagong,"34° 0'0""S","148° 9'30""E"
Tyalgum,"28° 23'0""S","153° 16'0""E"
Tyrendarra,"38° 12'20""S","141° 47'50""E"
Tyrie,"32° 6'0""S","147° 39'30""E"
Tyringham,"30° 10'0""S","152° 35'0""E"
Ubobo,"24° 17'30""S","151° 20'30""E"
Ulong,"30° 12'0""S","152° 52'0""E"
Ultima,"35° 31'0""S","143° 25'30""E"
Ulverstone,"41° 18'0""S","146° 5'0""E"
Undera,"36° 13'15""S","145° 15'30""E"
Underbool,"35° 9'20""S","141° 55'30""E"
Ungarie,"33° 43'30""S","146° 56'30""E"
Ungarra,"34° 8'0""S","136° 0'30""E"
Unicup,"34° 23'0""S","116° 51'30""E"
Upper Gascoyne (Ext),"24° 0'0""S","116° 2'0""E"
Upper Horton,"30° 12'0""S","150° 36'5""E"
Upper Preston,"33° 36'30""S","116° 4'0""E"
Upper Stone,"18° 42'0""S","146° 2'30""E"
Upper Widgee,"26° 12'0""S","152° 29'30""E"
Uralla,"30° 39'0""S","151° 27'47""E"
Urana,"35° 19'30""S","146° 26'0""E"
Urbenville,"28° 30'30""S","152° 32'0""E"
Uriarra Forest,"35° 15'30""S","148° 54'30""E"
Valley Downs,"26° 43'49""S","148° 29'6""E"
Varley,"32° 48'30""S","119° 28'0""E"
Victor Harbor,"35° 31'0""S","138° 34'30""E"
Victoria River (Ext),"16° 32'0""S","130° 38'0""E"
Victoria Valley,"37° 28'30""S","142° 18'30""E"
Violet Town,"36° 38'30""S","145° 43'0""E"
Wagga Wagga,"35° 8'0""S","147° 23'30""E"
Wagin,"33° 21'30""S","117° 25'30""E"
Wagoora,"20° 49'30""S","148° 41'30""E"
Waikerie,"34° 12'30""S","139° 54'0""E"
Waitchie,"35° 18'0""S","143° 12'0""E"
Wakool,"35° 27'40""S","144° 24'5""E"
Walcha,"31° 3'0""S","151° 39'30""E"
Walcha Road,"30° 55'0""S","151° 24'0""E"
Walgett,"29° 59'30""S","148° 8'30""E"
Walkaway,"28° 57'30""S","114° 50'30""E"
Walker (Ext),"20° 25'0""S","144° 28'0""E"
Walker Flat,"34° 47'30""S","139° 28'30""E"
Walkerston,"21° 13'0""S","148° 57'0""E"
Walla Walla,"35° 50'30""S","146° 48'0""E"
Wallacedale,"37° 56'30""S","141° 46'30""E"
Wallanthery,"33° 26'30""S","145° 48'30""E"
Wallendbeen,"34° 29'30""S","148° 6'0""E"
Wallumbilla,"26° 34'0""S","149° 2'30""E"
Walpole,"34° 55'0""S","116° 51'30""E"
Walsh River (Ext),"16° 53'0""S","143° 44'0""E"
Walwa,"36° 1'20""S","147° 37'10""E"
Walyurin,"32° 51'30""S","118° 21'0""E"
Wanbi,"34° 42'0""S","140° 23'0""E"
Wandearah East,"33° 25'30""S","138° 4'30""E"
Wandoan,"26° 7'23""S","149° 57'41""E"
Wanganella,"35° 10'0""S","144° 52'0""E"
Wangaratta,"36° 20'30""S","146° 20'30""E"
Wanilla,"34° 29'0""S","135° 43'0""E"
Wannamal,"31° 6'30""S","116° 2'30""E"
Wanneroo,"31° 44'30""S","115° 50'0""E"
Wantabadgery,"35° 4'0""S","147° 40'0""E"
Waratah,"41° 23'30""S","145° 35'30""E"
Warburton,"37° 47'0""S","145° 43'0""E"
Wards River,"32° 14'30""S","151° 53'0""E"
Warialda,"29° 33'25""S","150° 34'35""E"
Warooka,"35° 4'0""S","137° 17'0""E"
Waroona,"32° 52'0""S","115° 58'0""E"
Warra,"27° 2'0""S","150° 53'30""E"
Warracknabeal,"36° 17'30""S","142° 24'0""E"
Warradarge,"29° 55'0""S","115° 35'30""E"
Warragul,"38° 11'30""S","145° 55'0""E"
Warralakin,"31° 1'30""S","118° 23'30""E"
Warralonga,"33° 58'0""S","147° 29'30""E"
Warrawidgee,"34° 14'0""S","145° 44'30""E"
Warrego (Ext),"26° 7'0""S","146° 17'0""E"
Warren,"31° 48'0""S","147° 52'0""E"
Warrington,"30° 44'0""S","148° 16'20""E"
Warrnambool,"38° 19'30""S","142° 29'0""E"
Warrumbungle,"31° 17'30""S","148° 46'0""E"
Warwick,"28° 12'30""S","152° 4'0""E"
Watchem,"36° 11'0""S","142° 56'0""E"
Waterhouse,"40° 57'0""S","147° 41'0""E"
Watheroo,"30° 23'30""S","116° 15'0""E"
Wedderburn,"36° 29'20""S","143° 36'50""E"
Wedge,"35° 10'0""S","136° 27'30""E"
Wee Elwah (Ext),"32° 56'0""S","145° 13'0""E"
Wee Waa,"30° 11'0""S","149° 26'30""E"
Weelong,"33° 32'0""S","147° 42'0""E"
Weemelah,"29° 2'0""S","149° 21'0""E"
Weetaliba,"31° 39'50""S","149° 37'45""E"
Weethalle,"33° 52'0""S","146° 39'0""E"
Weipa,"12° 38'30""S","141° 55'0""E"
Wellingrove,"29° 45'30""S","151° 34'0""E"
Wellington,"32° 33'50""S","148° 54'50""E"
Wemen,"34° 39'0""S","142° 35'30""E"
Wenna,"29° 37'30""S","149° 6'0""E"
Wentworth,"34° 6'30""S","141° 59'30""E"
Werribee,"37° 53'0""S","144° 37'0""E"
Werrimull,"34° 20'30""S","141° 28'30""E"
West River,"33° 42'30""S","119° 45'0""E"
West Wyalong,"33° 56'30""S","147° 8'30""E"
Westbury,"41° 31'0""S","146° 55'30""E"
Western Flat,"36° 33'30""S","140° 41'0""E"
Westgrove (Ext),"25° 30'0""S","148° 22'0""E"
Westmar,"27° 42'16""S","149° 44'21""E"
Westonia,"31° 21'0""S","118° 40'0""E"
Westwood,"23° 31'0""S","150° 8'0""E"
Whaleback (Ext),"22° 46'30""S","120° 4'0""E"
Wharminda,"33° 53'0""S","136° 18'0""E"
Whiporie,"29° 17'30""S","153° 1'0""E"
White Cliffs,"31° 33'0""S","143° 12'0""E"
Whitemark,"40° 14'30""S","148° 11'0""E"
Whittlesea,"37° 35'30""S","145° 13'0""E"
Whorouly,"36° 28'30""S","146° 31'0""E"
Whyalla,"32° 57'0""S","137° 34'30""E"
Wialki North,"30° 27'30""S","118° 7'0""E"
Wiangaree,"28° 25'0""S","152° 57'30""E"
Wickepin,"32° 44'0""S","117° 22'30""E"
Wickepin East,"32° 46'0""S","117° 42'30""E"
Widden Valley,"32° 33'0""S","150° 24'30""E"
Widgeland,"31° 54'0""S","147° 6'0""E"
Wilcannia,"31° 34'0""S","143° 23'0""E"
Wilga,"33° 45'0""S","116° 17'30""E"
Wilgoyne,"30° 49'30""S","118° 19'30""E"
Wilkur,"36° 4'0""S","142° 40'0""E"
Willalooka,"36° 22'30""S","140° 22'0""E"
Willandra Lakes (Ext),"33° 50'0""S","142° 44'0""E"
Willaura,"37° 33'0""S","142° 45'0""E"
Williams,"32° 59'0""S","116° 57'0""E"
Willow Tree,"31° 42'0""S","150° 36'0""E"
Willowie,"32° 42'30""S","138° 18'0""E"
Willows,"23° 44'28""S","147° 32'12""E"
Willunga,"35° 17'30""S","138° 35'30""E"
Wilmington,"32° 41'0""S","138° 7'0""E"
Wilpena,"32° 25'0""S","136° 51'0""E"
Wiluna,"26° 32'0""S","118° 44'30""E"
Winchelsea South,"38° 15'0""S","143° 53'0""E"
Winchendon Vale,"34° 42'10""S","147° 23'0""E"
Windera,"26° 4'30""S","151° 50'30""E"
Windeyer,"32° 48'30""S","149° 33'30""E"
Windsor (NSW),"33° 35'0""S","150° 49'0""E"
Windsor (SA),"34° 25'30""S","138° 20'0""E"
Wingeel,"38° 5'30""S","143° 52'0""E"
Winnaleah,"41° 8'0""S","147° 51'0""E"
Winton (QLD),"22° 23'30""S","143° 2'30""E"
Winton (VIC),"36° 31'30""S","146° 7'0""E"
Wirrega,"36° 9'55""S","140° 39'0""E"
Wirrinya,"33° 40'0""S","147° 47'30""E"
Wirrulla,"32° 24'18""S","134° 31'46""E"
Wisemans Ferry,"33° 28'0""S","151° 0'30""E"
Wittenoom,"22° 52'0""S","118° 5'0""E"
Wollar,"32° 26'0""S","149° 50'30""E"
Wollomombi,"30° 33'0""S","151° 59'0""E"
Wollongong,"34° 25'30""S","150° 50'30""E"
Wolvi,"26° 10'30""S","152° 51'30""E"
Wombelano,"37° 0'15""S","141° 39'0""E"
Wombeyan Caves,"34° 20'30""S","149° 58'0""E"
Womboota,"35° 52'0""S","144° 38'30""E"
Wonboyn Lake,"37° 12'0""S","149° 52'0""E"
Wondai,"26° 18'30""S","151° 51'30""E"
Wongan Hills,"30° 49'0""S","116° 42'0""E"
Wonthaggi,"38° 36'0""S","145° 43'0""E"
Woodanilling,"33° 33'50""S","117° 20'35""E"
Woodbine,"27° 48'30""S","152° 13'0""E"
Woodburn,"29° 3'0""S","153° 19'30""E"
Woodbury,"42° 13'30""S","147° 29'45""E"
Woodenbong,"28° 22'50""S","152° 41'20""E"
Woodend,"37° 22'30""S","144° 32'30""E"
Woodford,"26° 57'0""S","152° 45'30""E"
Woodhouse,"37° 48'0""S","142° 27'0""E"
Woodhouselee,"34° 35'30""S","149° 36'0""E"
Woods Point,"37° 31'0""S","146° 12'35""E"
Woodside (SA),"34° 52'30""S","138° 52'0""E"
Woodside (VIC),"38° 29'30""S","146° 52'0""E"
Woodstock (NSW),"33° 47'0""S","148° 53'30""E"
Woodstock (QLD),"19° 34'0""S","146° 53'0""E"
Woogenilup,"34° 32'30""S","117° 55'0""E"
Wooli,"29° 45'30""S","153° 13'0""E"
Woolooga,"26° 3'0""S","152° 27'30""E"
Woolsthorpe,"38° 7'30""S","142° 28'0""E"
Woomelang,"35° 40'0""S","142° 37'0""E"
Woomera,"31° 11'30""S","136° 48'0""E"
Woorabinda,"24° 3'30""S","149° 26'30""E"
Wootton,"32° 16'30""S","152° 13'30""E"
Wowan,"23° 50'0""S","150° 11'0""E"
Wrattonbully,"37° 6'30""S","140° 47'30""E"
Wubin,"29° 58'40""S","116° 40'24""E"
Wubin West,"30° 10'0""S","116° 31'30""E"
Wudinna,"33° 3'30""S","135° 22'0""E"
Wunkar,"34° 28'10""S","140° 19'40""E"
Wyaga,"28° 16'0""S","150° 33'30""E"
Wyalkatchem,"31° 8'30""S","117° 23'0""E"
Wyanga,"32° 25'0""S","148° 8'30""E"
Wycheproof,"36° 4'30""S","143° 16'0""E"
Wynarka,"35° 6'30""S","139° 48'0""E"
Wyndham,"15° 27'30""S","128° 6'0""E"
Wynyard,"41° 0'0""S","145° 33'30""E"
Wyong,"33° 14'0""S","151° 26'30""E"
Yaapeet,"35° 47'0""S","142° 7'0""E"
Yabmana,"33° 43'30""S","136° 40'0""E"
Yabulu,"19° 18'0""S","146° 32'0""E"
Yackandandah,"36° 23'0""S","146° 58'55""E"
Yakapari,"21° 1'30""S","148° 58'0""E"
Yalca,"35° 55'30""S","145° 15'0""E"
Yalgoo,"27° 21'30""S","116° 25'0""E"
Yallalong (Ext),"27° 21'30""S","116° 25'0""E"
Yambacoona,"39° 45'0""S","144° 0'0""E"
Yanchep,"31° 33'0""S","115° 46'20""E"
Yandanooka,"29° 16'30""S","115° 42'30""E"
Yandaran,"24° 44'0""S","152° 8'0""E"
Yankalilla,"35° 27'0""S","138° 26'30""E"
Yarck,"37° 4'0""S","145° 38'30""E"
Yaringa (Ext),"24° 48'0""S","114° 25'30""E"
Yarrabandai,"33° 4'30""S","147° 38'30""E"
Yarragrin,"31° 41'0""S","148° 57'0""E"
Yarram,"38° 34'0""S","146° 35'0""E"
Yarraman,"26° 52'0""S","152° 0'0""E"
Yarrawonga,"35° 59'50""S","145° 59'10""E"
Yarrie Lake,"30° 23'0""S","149° 27'30""E"
Yarrowitch,"31° 12'30""S","151° 50'0""E"
Yass,"34° 54'30""S","148° 58'30""E"
Yaven Creek,"35° 28'0""S","147° 59'0""E"
Yea,"37° 13'0""S","145° 27'30""E"
Yealering,"32° 35'30""S","117° 41'45""E"
Yeelanna,"34° 7'30""S","135° 47'30""E"
Yelarbon,"28° 37'30""S","150° 38'0""E"
Yelbeni,"31° 14'30""S","117° 41'50""E"
Yenda,"34° 17'30""S","146° 16'30""E"
Yeoval,"32° 42'0""S","148° 39'0""E"
Yeppoon,"23° 9'30""S","150° 42'0""E"
Yerecoin,"30° 56'0""S","116° 22'0""E"
Yerrinbool,"34° 22'30""S","150° 30'30""E"
Yetholme,"33° 31'0""S","149° 48'30""E"
Yetman,"28° 51'30""S","150° 40'30""E"
Yilgarn South,"31° 38'10""S","119° 13'20""E"
Yinnar,"38° 24'0""S","146° 23'0""E"
Yolla,"41° 13'30""S","145° 36'0""E"
York,"31° 52'0""S","116° 51'30""E"
Yorketown,"35° 0'30""S","137° 38'0""E"
Yorkrakine,"31° 25'0""S","117° 34'0""E"
Young,"34° 21'0""S","148° 15'30""E"
Yulara,"25° 28'0""S","129° 34'0""E"
Yuleba,"26° 23'0""S","149° 19'0""E"
Yumali,"35° 28'0""S","139° 51'30""E"
Yuna,"28° 23'0""S","114° 54'30""E"
Yuna East,"28° 25'30""S","115° 10'0""E"
Yunta,"32° 35'0""S","139° 28'0""E"
Zamia Creek (Ext),"24° 32'30""S","149° 36'0""E"
